127.0.0.1 - - [12/May/2023:15:28:42 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [12/May/2023:15:28:42 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 5496
0:0:0:0:0:0:0:1 - - [12/May/2023:15:28:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [12/May/2023:15:28:45 +0900] "GET /JSPStudy/ch08/useBeanDate.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [12/May/2023:15:28:49 +0900] "GET /JSPStudy/ch08/param.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/May/2023:15:29:41 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 6301
0:0:0:0:0:0:0:1 - - [12/May/2023:15:41:27 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 500 2626
0:0:0:0:0:0:0:1 - - [12/May/2023:15:42:23 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 500 2626
0:0:0:0:0:0:0:1 - - [12/May/2023:15:42:35 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 500 2626
0:0:0:0:0:0:0:1 - - [12/May/2023:15:43:49 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 500 2407
0:0:0:0:0:0:0:1 - - [12/May/2023:15:44:09 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/May/2023:15:44:56 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/May/2023:15:45:29 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [12/May/2023:15:45:31 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/May/2023:15:45:42 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/May/2023:15:52:15 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [12/May/2023:15:54:31 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/May/2023:15:54:33 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [12/May/2023:15:54:44 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/May/2023:15:54:49 +0900] "GET /JSPStudy/ch11/dbConnTest.jsp HTTP/1.1" 200 288
