127.0.0.1 - - [07/Apr/2023:13:46:28 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:46:29 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:46:29 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:46:40 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:47:43 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:47:55 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:47:56 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:06 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:06 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:07 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:08 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:08 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:08 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:09 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:09 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:09 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:17 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:48:19 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:54:25 +0900] "GET /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 500 2677
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:14 +0900] "GET /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 500 2677
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:21 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:21 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:21 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:26 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:27 +0900] "POST /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:36 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:40 +0900] "POST /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:48 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:55:56 +0900] "POST /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:56:16 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:56:18 +0900] "POST /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [07/Apr/2023:13:56:21 +0900] "POST /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 200 307
